,State,Year,Year_Count,State_Name
199,OH,2018,4981,Ohio
200,OH,2019,977,Ohio
201,OH,2020,6682,Ohio
202,OH,2021,3293,Ohio
203,OK,2016,519,Oklahoma
204,OK,2017,840,Oklahoma
205,OK,2018,469,Oklahoma
206,OK,2019,149,Oklahoma
207,OK,2020,3481,Oklahoma
208,OK,2021,3348,Oklahoma
209,OR,2016,921,Oregon
210,OR,2017,1397,Oregon
211,OR,2018,15358,Oregon
212,OR,2019,34819,Oregon
213,OR,2020,28488,Oregon
214,OR,2021,45358,Oregon
215,PA,2016,3404,Pennsylvania
216,PA,2017,3780,Pennsylvania
217,PA,2018,2087,Pennsylvania
218,PA,2019,1647,Pennsylvania
219,PA,2020,24107,Pennsylvania
220,PA,2021,64950,Pennsylvania
221,RI,2016,635,Rhode Island
222,RI,2017,785,Rhode Island
223,RI,2018,772,Rhode Island
224,RI,2019,758,Rhode Island
225,RI,2020,649,Rhode Island
226,RI,2021,852,Rhode Island
227,SC,2016,998,South Carolina
228,SC,2017,1797,South Carolina
229,SC,2018,1558,South Carolina
230,SC,2019,1200,South Carolina
231,SC,2020,16850,South Carolina
232,SC,2021,66813,South Carolina
233,SD,2016,6,South Dakota
234,SD,2017,11,South Dakota
235,SD,2018,9,South Dakota
236,SD,2019,26,South Dakota
237,SD,2020,127,South Dakota
238,SD,2021,22,South Dakota
239,TN,2016,1618,Tennessee
240,TN,2017,2535,Tennessee
241,TN,2018,2137,Tennessee
242,TN,2019,1629,Tennessee
243,TN,2020,10639,Tennessee
244,TN,2021,34055,Tennessee
245,TX,2016,9288,Texas
246,TX,2017,12833,Texas
247,TX,2018,10085,Texas
248,TX,2019,6653,Texas
249,TX,2020,26573,Texas
250,TX,2021,83605,Texas
251,UT,2016,941,Utah
252,UT,2017,1756,Utah
253,UT,2018,4093,Utah
254,UT,2019,15435,Utah
255,UT,2020,9285,Utah
256,UT,2021,17683,Utah
257,VA,2016,2611,Virginia
258,VA,2017,4488,Virginia
259,VA,2018,5330,Virginia
260,VA,2019,4181,Virginia
261,VA,2020,24985,Virginia
262,VA,2021,71940,Virginia
263,VT,2016,17,Vermont
264,VT,2017,83,Vermont
265,VT,2018,57,Vermont
266,VT,2019,123,Vermont
267,VT,2020,69,Vermont
268,VT,2021,16,Vermont
269,WA,2016,2861,Washington
270,WA,2017,4762,Washington
271,WA,2018,4484,Washington
272,WA,2019,4293,Washington
273,WA,2020,5279,Washington
274,WA,2021,10875,Washington
275,WI,2016,1489,Wisconsin
276,WI,2017,2293,Wisconsin
277,WI,2018,1535,Wisconsin
278,WI,2019,1421,Wisconsin
279,WI,2020,971,Wisconsin
280,WI,2021,187,Wisconsin
281,WV,2016,398,West Virginia
282,WV,2017,604,West Virginia
283,WV,2018,533,West Virginia
284,WV,2019,419,West Virginia
285,WV,2020,902,West Virginia
286,WV,2021,4776,West Virginia
287,WY,2016,69,Wyoming
288,WY,2017,88,Wyoming
289,WY,2018,77,Wyoming
290,WY,2019,79,Wyoming
291,WY,2020,10,Wyoming
292,WY,2021,667,Wyoming
